Reference, Value, Footprint, Datasheet
"J1","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J2","CONN_01X05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm",""
"J3","CONN_01X03","Pin_Headers:Pin_Header_Angled_1x03_Pitch2.54mm",""
